dataset,line_id_orig,timestamp,time_delta,node,component,level,content,event_id,event_template,risk_score,severity_label,severity_code
BGL,1,03-06-2005 22:42,0,R02-M1-N0-C:J12-U11,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,0.1,Normal,0
BGL,2,03-06-2005 22:42,3,R02-M1-N0-C:J12-U11,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,0.1,Normal,0
BGL,3,03-06-2005 22:49,403,R02-M1-N0-C:J12-U11,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,0.1,Normal,0
BGL,4,03-06-2005 22:49,2,R02-M1-N0-C:J12-U11,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,0.1,Normal,0
BGL,5,03-06-2005 23:47,3462,R23-M0-NE-C:J05-U01,KERNEL,INFO,63543 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,0.1,Normal,0
BGL,6,03-06-2005 23:56,534,R24-M0-N1-C:J13-U11,KERNEL,INFO,162 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,0.1,Normal,0
BGL,7,03-06-2005 23:56,41,R21-M1-N6-C:J08-U11,KERNEL,INFO,141 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,0.1,Normal,0
BGL,8,04-06-2005 01:21,5104,R16-M1-N2-C:J17-U01,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>",0.1,Normal,0
BGL,9,04-06-2005 07:24,21753,R04-M1-N4-I:J18-U11,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,0.9,Risk,2
BGL,10,04-06-2005 07:24,4,R27-M1-N4-I:J18-U01,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,0.9,Risk,2
BGL,11,05-06-2005 03:28,72244,R30-M0-N7-C:J08-U01,KERNEL,INFO,"CE sym 20, at 0x1438f9e0, mask 0x40",E18,"CE sym <*>, at <*>, mask <*>",0.1,Normal,0
BGL,12,05-06-2005 07:09,13221,R25-M0-N7-C:J02-U01,KERNEL,INFO,generating core.2275,E67,generating core.<*>,0.1,Normal,0
BGL,13,05-06-2005 07:09,51,R24-M1-N8-C:J09-U11,KERNEL,INFO,generating core.862,E67,generating core.<*>,0.1,Normal,0
BGL,14,05-06-2005 07:36,1588,R24-M1-NB-C:J15-U11,KERNEL,INFO,generating core.728,E67,generating core.<*>,0.1,Normal,0
BGL,15,05-06-2005 07:37,65,R20-M1-N8-C:J04-U01,KERNEL,INFO,generating core.775,E67,generating core.<*>,0.1,Normal,0
