dataset,line_id_orig,timestamp,time_delta,node,component,level,content,event_id,event_template,risk_score,severity_label,severity_code
BGL,2449,15-11-2005 02:25,1,R46-M1-N1-C:J02-U01,KERNEL,FATAL,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=00ce22e8 e6200003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",E60,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",0.9,Risk,2
HDFS,2136,10-11-2008 19:33,685,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.39.179:50010:Got exception while serving blk_-8558281124275910849 to /10.251.30.134:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,685,10-11-2008 12:59,6,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.42.16:50010:Got exception while serving blk_4963214289850966664 to /10.251.202.181:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,1799,29-11-2005 16:12,130052,R55-M0-N9-C:J06-U11,KERNEL,INFO,13 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 4562 seconds,E14,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,0.1,Normal,0
HDFS,89,09-11-2008 22:04,211,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,2391,04-06-2005 07:24,4,R27-M1-N4-I:J18-U01,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,0.9,Risk,2
HDFS,1067,10-11-2008 22:43,80,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.199.159:50010 is added to blk_7705518309270121951 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.05,Normal,0
BGL,2245,16-11-2005 03:21,113,R57-M0-N8-C:J12-U01,KERNEL,FATAL,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=009756d5 8bfa0003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",E60,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",0.9,Risk,2
HDFS,1849,11-11-2008 08:59,1,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.delete: blk_-8769398708439834546 is added to invalidSet of 10.251.127.243:50010,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,0.05,Normal,0
HDFS,2126,10-11-2008 13:58,3,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.215.70:50010:Got exception while serving blk_-7391656937286046074 to /10.251.107.196:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,2091,10-11-2008 13:58,3,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.215.70:50010:Got exception while serving blk_-7391656937286046074 to /10.251.107.196:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,1947,04-12-2005 20:05,5650,R46-M0-N8-I:J18-U11,KERNEL,FATAL,Lustre mount FAILED : bglio617 : block_id : location,E80,Lustre mount FAILED : bglio<*> : block_id : location,0.9,Risk,2
BGL,1982,15-12-2005 07:16,38,R32-M0-NC-I:J18-U01,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:50288, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
HDFS,2120,09-11-2008 22:04,219,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,1821,11-11-2008 08:44,18,UNKNOWN,dfs.DataNode$PacketResponder,INFO,PacketResponder 2 for block blk_215466486430758887 terminating,E10,PacketResponder <*> for block blk_<*> terminating,0.05,Normal,0
HDFS,595,10-11-2008 11:43,38,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.allocateBlock: /user/root/randtxt2/_temporary/_task_200811101024_0002_m_000299_0/part-00299. blk_4984150784048864430,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,0.05,Normal,0
BGL,1116,24-07-2005 00:34,60,R12-M0-NC-C:J05-U01,KERNEL,INFO,generating core.15063,E67,generating core.<*>,0.1,Normal,0
HDFS,2036,09-11-2008 21:45,5,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,2109,10-11-2008 08:27,121,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.250.15.198:50010:Got exception while serving blk_-1851265222873801714 to /10.251.195.52:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,968,10-11-2008 21:55,0,UNKNOWN,dfs.DataNode$PacketResponder,INFO,Received block blk_8302956190102508375 of size 67108864 from /10.251.109.236,E11,Received block blk_<*> of size <*> from /<*>,0.05,Normal,0
BGL,274,14-06-2005 17:54,111,R21-M1-N5-C:J05-U11,KERNEL,FATAL,program interrupt: fp cr update.............0,E100,program interrupt: fp cr update.............<*>,0.1,Normal,0
HDFS,336,10-11-2008 08:20,30,UNKNOWN,dfs.DataNode$DataXceiver,INFO,10.251.215.16:50010 Served block blk_2322432806134104317 to /10.251.215.16,E1,<*>:<*> Served block blk_<*> to /<*>,0.05,Normal,0
HDFS,243,10-11-2008 01:42,22,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.allocateBlock: /user/root/randtxt/_temporary/_task_200811092030_0003_m_001365_0/part-01365. blk_4841101867353115844,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,0.05,Normal,0
HDFS,1326,11-11-2008 04:17,33,UNKNOWN,dfs.DataNode$PacketResponder,INFO,PacketResponder 0 for block blk_2261089810991980611 terminating,E10,PacketResponder <*> for block blk_<*> terminating,0.05,Normal,0
HDFS,697,10-11-2008 13:39,83,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.126.255:50010:Got exception while serving blk_1910039736720341651 to /10.251.31.85:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,1327,11-11-2008 04:18,37,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_5335498635665743905 src: /10.251.73.220:50095 dest: /10.251.73.220:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
BGL,87,08-06-2005 05:18,18,R16-M1-NC-C:J06-U11,KERNEL,INFO,generating core.1822,E67,generating core.<*>,0.1,Normal,0
HDFS,1692,11-11-2008 07:44,60,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_6417614801998326532 src: /10.251.214.67:48694 dest: /10.251.214.67:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
HDFS,281,10-11-2008 02:00,15,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_271142976916798281 src: /10.251.70.112:50176 dest: /10.251.70.112:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
BGL,1440,20-09-2005 19:45,1226,R26-M0-N7,DISCOVERY,INFO,"Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 075F04E8A27BFFFF07021C3096ED, found 04D78137922FFFFF040E1C3052ED",E93,"Node card VPD check: U<*> node in processor card slot J<*> do not match. VPD ecid <*>, found <*>",0.1,Normal,0
HDFS,1858,11-11-2008 08:59,0,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.delete: blk_-8312238797251504127 is added to invalidSet of 10.251.89.155:50010,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,0.05,Normal,0
HDFS,2164,10-11-2008 09:16,58,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.70.211:50010:Got exception while serving blk_424255210146453297 to /10.251.203.179:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,1027,10-11-2008 22:16,126,UNKNOWN,dfs.DataNode$PacketResponder,INFO,Received block blk_-5777981614298940026 of size 67108864 from /10.251.214.67,E11,Received block blk_<*> of size <*> from /<*>,0.05,Normal,0
BGL,1828,01-12-2005 14:41,20,R56-M0-N9-C:J08-U01,KERNEL,INFO,"10660 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",0.1,Normal,0
HDFS,614,10-11-2008 11:56,48,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.65.203:50010 is added to blk_-3949633496933134307 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.05,Normal,0
HDFS,1980,11-11-2008 10:09,39,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_5646792755154529338 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.05,Normal,0
HDFS,545,10-11-2008 11:09,12,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_-3612946656596896413 src: /10.251.105.189:48488 dest: /10.251.105.189:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
